Local,lat,long,x,y,alt,distance_r,distance_m,distance_c,distance_1,distance_2,distance_b
CN1,-6.175786000000000,-50.409092000000001,"565375","9317327","705",110.150960824637281,12028.729594563672435,5725.782803036330733,12028.729594563672435,5725.782803036330733,27094.471704203566333
CN2,-6.173898000000000,-50.377923000000003,"568824","9317532","680",348.745244722622374,9210.452467077187976,2291.573782611461866,9210.452467077187976,2291.573782611461866,26026.838529931432276
CN3,-6.148752000000000,-50.421190000000003,"564040","9320317","692",276.688539310936164,11927.868580317845044,7333.445273808375532,11927.868580317845044,7333.445273808375532,24698.728893580770091
CN4,-6.145874000000000,-50.439976999999999,"561961","9320637","662",484.658772999289170,13727.119326817250112,9431.570279636029227,13727.119326817250112,9431.570279636029227,24986.439754564260511
CN5,-6.137579000000000,-50.452846999999998,"560538","9321556","670",783.154134153003497,14793.803520462470260,11034.081142807513970,14793.803520462470260,11034.081142807513970,24492.176984921319672
CN6,-6.171656000000000,-50.352590999999997,"571627","9317776","412",7.744843352999642,7232.756662123710157,522.884599985778323,7232.756662123710157,522.884599985778323,25233.984937629604246
CN7,-6.202350000000000,-50.343877999999997,"572586","9314382","603",267.875772900521270,9652.306625744122357,2514.019241214234626,9652.306625744122357,2514.019241214234626,26119.830431099973794
CN8,-6.215823000000000,-50.317762999999999,"575474","9312889","466",567.099176993130641,9906.465993145044195,5448.485455861739865,10066.256708282166073,5448.485455861739865,23811.548970311629091
CN9,-6.244426000000000,-50.315308999999999,"575741","9309726","384",277.165315209284358,12913.239671915715007,6250.446152670017909,13071.079271769533079,6250.446152670017909,20697.161424635945878
CN10,-6.284544000000000,-50.336224000000001,"573422","9305294","625",517.925169889105405,11773.271814688536324,2417.404439843432556,11805.072945062142026,2417.404439843432556,17328.459272651125502
CN11,-6.142360000000000,-50.174048999999997,"591386","9320988","698",1160.925400280716985,3292.317888945712184,833.211069951092327,3292.317888945712184,833.211069951092327,21313.987367647321662
CN12,-6.161556000000000,-50.166435999999997,"592225","9318864","694",653.755707057590257,5573.704645137570878,208.168883248036536,5573.704645137570878,208.168883248036536,21738.428635006286640
CN13,-6.184134000000000,-50.142685999999998,"594849","9316364","710",886.684209585180042,7484.189433204303896,159.707686832161045,7502.406697597394668,159.707686832161045,18960.614660274422931
CN14,-6.186415000000000,-50.129325999999999,"596327","9316109","703",230.321353556087445,7751.731785362551818,195.008847758569260,7760.269032747954952,195.008847758569260,17483.280099392261036
