Data Medicao;Hora Medicao;precipitation;temperature;humidity;wind;
2019-11-01;0000;0;22.9;87;1.4;
2019-11-01;0100;0;23.2;84;1.7;
2019-11-01;0200;0;22.8;87;1.7;
2019-11-01;0300;0;23.6;76;2.2;
2019-11-01;0400;0;23.5;75;1.8;
2019-11-01;0500;0;23.2;77;2;
2019-11-01;0600;0;23;79;2.3;
2019-11-01;0700;0;23.1;79;2.4;
2019-11-01;0800;0;23.1;79;3.5;
2019-11-01;0900;0;22.7;82;3.7;
2019-11-01;1000;0;23;81;3.6;
2019-11-01;1100;0;22.5;85;4.4;
2019-11-01;1200;0;22.6;89;3.6;
2019-11-01;1300;0;22.9;89;2.9;
2019-11-01;1400;0;25.9;77;2.9;
2019-11-01;1500;0;26.5;70;2.8;
2019-11-01;1600;0;27.6;69;2.9;
2019-11-01;1700;0;28.1;65;3.5;
2019-11-01;1800;0;29.8;56;1.3;
2019-11-01;1900;0;29;55;2.6;
2019-11-01;2000;0;27.7;60;2.9;
2019-11-01;2100;0;26.3;66;2.4;
2019-11-01;2200;0;26;68;2.2;
2019-11-01;2300;0;25.5;69;2;
2019-11-02;0000;0;25.4;70;3;
2019-11-02;0100;0;25;71;1.8;
2019-11-02;0200;0;24.3;75;1.9;
2019-11-02;0300;0;24.2;76;.9;
2019-11-02;0400;0;24.7;72;1.1;
2019-11-02;0500;0;24.1;76;1.8;
2019-11-02;0600;0;23.9;76;1.4;
2019-11-02;0700;0;23.9;75;2.2;
2019-11-02;0800;0;23.6;77;1.5;
2019-11-02;0900;0;24.1;71;1.4;
2019-11-02;1000;0;25.1;69;1.5;
2019-11-02;1100;0;25.2;71;2.4;
2019-11-02;1200;0;25.8;71;3.9;
2019-11-02;1300;0;26.2;72;3.7;
2019-11-02;1400;0;28.2;64;2.8;
2019-11-02;1500;0;27.5;64;2.2;
2019-11-02;1600;0;29.5;57;2.3;
2019-11-02;1700;0;30.9;47;3.1;
2019-11-02;1800;0;30.7;46;2.9;
2019-11-02;1900;0;29.6;49;2.6;
2019-11-02;2000;0;28.9;58;1.1;
2019-11-02;2100;0;27.8;60;2;
2019-11-02;2200;0;26;73;2.5;
2019-11-02;2300;0;25.6;75;2.6;
2019-11-03;0000;0;25.7;73;2;
2019-11-03;0100;0;25.7;72;2.6;
2019-11-03;0200;0;25.3;73;3;
2019-11-03;0300;0;25.2;75;1.8;
2019-11-03;0400;0;25.6;74;1.4;
2019-11-03;0500;0;25.2;73;2.5;
2019-11-03;0600;0;25.5;72;1.4;
2019-11-03;0700;8.4;21.9;93;3.7;
2019-11-03;0800;0;21.6;95;3.2;
2019-11-03;0900;0;23.1;72;2.4;
2019-11-03;1000;0;20.6;89;3.3;
2019-11-03;1100;.2;20.9;89;4.7;
2019-11-03;1200;0;21.4;93;5.6;
2019-11-03;1300;0;21.6;94;4.5;
2019-11-03;1400;0;23.7;87;3.1;
2019-11-03;1500;0;24.3;84;3.7;
2019-11-03;1600;0;25.7;79;2.6;
2019-11-03;1700;0;25.5;77;3.4;
2019-11-03;1800;0;25.9;73;2.3;
2019-11-03;1900;0;25;75;1.6;
2019-11-03;2000;0;24;81;1.2;
2019-11-03;2100;0;23.8;79;2.2;
