"Local","time_period","Count","AA.Mean","AA.sd","BGN.Mean","BGN.sd","AEI.Mean","AEI.sd","H.Mean","H.sd"
"CN1","dawn",143,0.0434755244755245,0.0320547138252734,-14.4195804195804,1.75793007044412,0.0256837762237762,0.0299537474738007,0.965283288737016,0.0101959782234151
"CN1","day",789,0.0605145754119138,0.0354017744970726,-14.7135614702155,1.78873551325555,0.0363610671736375,0.0502145181414395,0.945649819500232,0.0307523270799979
"CN1","dusk",153,0.0738888888888889,0.0236703110611372,-14.9281045751634,1.8140699196014,0.0605857516339869,0.10402007969816,0.932319303442796,0.0276467608208544
"CN1","night",773,0.0572445019404916,0.0346751913886714,-14.6921086675291,1.93572958988876,0.0402285640362225,0.0707883972707261,0.951012145213086,0.0204423215333925
"CN2","dawn",50,0.0764,0.0439350169487359,-16.14,1.88452343350476,0.10718684,0.0939348958486479,0.873352144923388,0.0560004980119431
"CN2","day",224,0.0872767857142857,0.0447264149480633,-16.1339285714286,2.44397505992385,0.228945991071429,0.221511010288681,0.872564130261241,0.0541697069564153
"CN2","dusk",48,0.101,0.0242644999422368,-15.6666666666667,1.3735082171924,0.1070565,0.103196792011825,0.88870438099483,0.0210285621947485
"CN2","night",255,0.0726470588235294,0.0393776504066919,-15.6235294117647,1.95204195886536,0.134654749019608,0.164066182793556,0.887647614378771,0.0451519192506945
"CN3","dawn",151,0.0528940397350993,0.0696042290207409,-15.7350993377483,4.00116980686893,0.142731271523179,0.222961859233635,0.933789114787698,0.0840237216750944
"CN3","day",852,0.0394847417840376,0.0494012897451867,-15.2816901408451,2.95608165680328,0.1177755657277,0.197920548889784,0.943385986893183,0.0576966348045118
"CN3","dusk",180,0.0711055555555556,0.0295579153531644,-15.5444444444444,2.14116926815354,0.118678066666667,0.174128610808173,0.910053051794309,0.0385304172027793
"CN3","night",869,0.0580736478711162,0.0596855362155413,-15.4131185270426,3.02308522801508,0.115606627157652,0.180711310926517,0.931730353743467,0.0529342821813963
"CN4","dawn",164,0.0254512195121951,0.0270669029954938,-14.3231707317073,2.01508414660806,0.0354473414634146,0.046837251169707,0.971624766640951,0.0154808310494709
"CN4","day",866,0.038715935334873,0.0343260146731861,-14.2090069284065,1.81170559500094,0.0448053394919169,0.0730175267839768,0.958415407961397,0.0319862169127279
"CN4","dusk",180,0.0974944444444444,0.0273952035157121,-15.3666666666667,1.43343943135103,0.114486366666667,0.122695822010245,0.905490008454959,0.0335436488903687
"CN4","night",832,0.0601995192307692,0.0411467521240527,-15.0024038461538,1.71283650582218,0.0642265252403846,0.0845193577214734,0.944790779724349,0.0232720887426683
"CN5","dawn",172,0.0281511627906977,0.0454312712566657,-14.25,2.2995677193565,0.0498850058139535,0.0938085108543333,0.965403179346009,0.0261109987177297
"CN5","day",933,0.0302540192926045,0.0364208059292502,-14.1704180064309,2.16138157636392,0.0540362829581994,0.0962104078739052,0.95701678646137,0.0391444361833023
"CN5","dusk",182,0.0711373626373626,0.0266497194468732,-14.7637362637363,1.66677088699299,0.0934846318681319,0.13231767840295,0.919736960957417,0.0332424739829616
"CN5","night",891,0.0466531986531987,0.0294588617823216,-14.7586980920314,1.86545174508577,0.0659884668911336,0.104506580067766,0.953126420411852,0.0210050958109271
"CN6","dawn",126,0.0815555555555556,0.0451138214839852,-17.0396825396825,1.73620641008283,0.105792873015873,0.119436661742497,0.930608252092532,0.022980995298724
"CN6","day",671,0.115436661698957,0.0490135689120455,-16.7496274217586,1.97368410984531,0.139836763040238,0.145925133054996,0.907802466741602,0.0405144387497041
"CN6","dusk",144,0.154229166666667,0.032645311243023,-16.2361111111111,1.35350418616773,0.108081291666667,0.0894664863650169,0.884801327208504,0.0323708104880719
"CN6","night",673,0.115622585438336,0.0506670406965753,-16.5052005943536,1.82583632089898,0.0975503328380386,0.100752563944625,0.914030779734802,0.0299366445952704
"CN7","dawn",108,0.0369074074074074,0.05180526748324,-15.787037037037,4.40274112985982,0.214039675925926,0.322566356513347,0.933977000043371,0.10177291238495
"CN7","day",620,0.0492806451612903,0.0447278102265318,-16.4903225806452,3.11827743744398,0.20464915483871,0.260130707581996,0.926548837189569,0.0656521984795901
"CN7","dusk",132,0.0774772727272727,0.0290247238407521,-16.5075757575758,2.66586053626163,0.141780613636364,0.201039728102941,0.914038683377461,0.0340307796234973
"CN7","night",648,0.0465354938271605,0.0405378290640627,-16.4691358024691,3.54162327019979,0.20777649691358,0.280960622454558,0.934936944494138,0.0623429574293408
"CN8","dawn",173,0.0344161849710983,0.0410973061615117,-15.4682080924855,2.04466854155334,0.0806407456647399,0.113760613363867,0.966867289288131,0.0150291446993749
"CN8","day",879,0.0577861205915813,0.0587337898993018,-15.0432309442548,1.83869978081296,0.0807787497155859,0.094807951372245,0.944194092647316,0.0448101471391707
