"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","group","col"
"fixed","cond","cond.z_alt",0.115087595849144,0.0576838807289859,1.99514308667712,0.0460272762277554,0.0020292671318273,0.22814592456646,"H [0.3-22.1kHz]","#55c0f0"
"fixed","cond","cond.z_distedge",-0.253131541465274,0.0602692136848209,-4.20001400365087,2.66898472440754e-05,-0.371257029664072,-0.135006053266477,"H [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_distwater",0.195626983059887,0.0534841179827156,3.65766493752608,0.000254523471057811,0.0908000380688733,0.300453928050901,"H [0.3-22.1kHz]","#55c0f0"
"fixed","cond","cond.z_NDVI",0.274577704683784,0.0432559120436119,6.34774974590633,2.18487110218575e-10,0.189797674959873,0.359357734407696,"H [0.3-22.1kHz]","#55c0f0"
"fixed","cond","cond.z_temperature",-0.167626424753399,0.02601700384145,-6.442956528543,1.17168264118163e-10,-0.218618815268281,-0.116634034238516,"H [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_distedge",-0.0833408557715916,0.0267514259428694,-3.11537994085157,0.00183708115953824,-0.135772687154706,-0.0309090243884772,"H [4-12kHz]","#e65a49"
"fixed","cond","cond.z_distwater",0.0705721133306919,0.0233642510402061,3.02051682329765,0.00252343689228502,0.0247790227661356,0.116365203895248,"H [4-12kHz]","#55c0f0"
"fixed","cond","cond.z_humidity",-0.0278132594404102,0.0162887250785673,-1.70751604599226,0.0877261779396969,-0.0597385739484764,0.00411205506765601,"H [4-12kHz]","#dbdfde"
"fixed","cond","cond.z_NDVI",0.0977156467556541,0.0154489527794931,6.32506605142593,2.53124284796726e-10,0.0674362557089877,0.127995037802321,"H [4-12kHz]","#55c0f0"
"fixed","cond","cond.z_temperature",-0.0829012230471759,0.0184324156925478,-4.49757776896778,6.87320234740784e-06,-0.11902809395264,-0.0467743521417113,"H [4-12kHz]","#e65a49"
"fixed","cond","cond.z_distedge",0.0350322290152478,0.00881789380150741,3.97285676192415,7.10157574271683e-05,0.0177494747447943,0.0523149832857013,"ADI [0.3-22.1kHz]","#55c0f0"
"fixed","cond","cond.z_distwater",-0.0103594296944974,0.00539473448915302,-1.920285366282,0.0548218637748431,-0.0209329149993934,0.000214055610398649,"ADI [0.3-22.1kHz]","#dbdfde"
"fixed","cond","cond.z_NDVI",-0.0298201553867531,0.00506271344776979,-5.89015272035383,3.8583888207238e-09,-0.0397428914084285,-0.0198974193650777,"ADI [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_treeheight",-0.0217286292406169,0.00864180527333392,-2.51436228349939,0.0119247865716575,-0.0386662563377597,-0.00479100214347413,"ADI [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_NDVI",0.00374794825057978,0.00151825470372076,2.46858991537767,0.013564656883911,0.000772223711928565,0.00672367278923099,"ADI [4-12kHz]","#55c0f0"
"fixed","cond","cond.z_temperature",0.00295840384548198,0.00169842297596856,1.74185340597791,0.0815340988213233,-0.000370444017931738,0.0062872517088957,"ADI [4-12kHz]","#dbdfde"
"fixed","cond","cond.z_alt",0.193880610411595,0.0543768803456737,3.56549712265758,0.00036316714655304,0.0873038833424306,0.300457337480759,"AEI [0.3-22.1kHz]","#55c0f0"
"fixed","cond","cond.z_distwater",0.0890441557217172,0.0484103534766519,1.83936181677878,0.0658619863361457,-0.00583839357137381,0.183926705014808,"AEI [0.3-22.1kHz]","#dbdfde"
"fixed","cond","cond.z_humidity",-0.102706542206681,0.071151857704239,-1.44348363515127,0.148884279184875,-0.242161620740108,0.0367485363267463,"AEI [0.3-22.1kHz]","#dbdfde"
"fixed","cond","cond.z_NDVI",0.149619561466712,0.0387368896595905,3.86245676360517,0.000112252436611562,0.073696652860813,0.225542470072612,"AEI [0.3-22.1kHz]","#55c0f0"
"fixed","cond","cond.z_temperature",-0.233825868986681,0.0781380684070163,-2.99247055569248,0.0027672935991744,-0.38697366888596,-0.0806780690874019,"AEI [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_treeheight",-0.0904145526022957,0.055621500145642,-1.62553243557887,0.104049158371427,-0.199430689653843,0.018601584449252,"AEI [0.3-22.1kHz]","#dbdfde"
"fixed","cond","cond.z_distwater",0.0127366995291625,0.00483243915194837,2.63566681931778,0.00839721384832585,0.00326529283386241,0.0222081062244626,"AEI [4-12kHz]","#55c0f0"
"fixed","cond","cond.z_temperature",-0.0148786817105334,0.00341522773565077,-4.35657088258517,1.32115921641193e-05,-0.0215724050714112,-0.00818495834965563,"AEI [4-12kHz]","#e65a49"
"fixed","cond","cond.z_alt",-0.0211044229371287,0.00723053423637416,-2.91879164764342,0.00351391000020605,-0.0352760096294059,-0.00693283624485155,"BGN [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_distedge",0.019789616403713,0.00755445874039552,2.61959421366526,0.00880344515699554,0.00498314934984397,0.034596083457582,"BGN [0.3-22.1kHz]","#55c0f0"
"fixed","cond","cond.z_distwater",-0.0193893436484565,0.00669302264244287,-2.89694876056473,0.00376811293592036,-0.0325074269753556,-0.00627126032155739,"BGN [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_NDVI",-0.0402855025175684,0.00593790103615091,-6.78446849691561,1.16514655423547e-11,-0.0519235746921873,-0.0286474303429496,"BGN [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_alt",-0.110149034713167,0.0309213616916573,-3.56223104957522,0.000367716539864656,-0.170753789981752,-0.0495442794445825,"BGN [4-12kHz]","#e65a49"
"fixed","cond","cond.z_distedge",0.0656368193548775,0.0310684498472647,2.11265189211415,0.0346305737218755,0.00474377659874972,0.126529862111005,"BGN [4-12kHz]","#55c0f0"
"fixed","cond","cond.z_NDVI",-0.0472262875324352,0.0139455562344994,-3.38647571587025,0.00070796541964661,-0.074559075496432,-0.0198934995684384,"BGN [4-12kHz]","#e65a49"
"fixed","cond","cond.z_temperature",0.117725252535072,0.0129325153617957,9.10304370353564,8.78350622070289e-20,0.0923779881964419,0.143072516873703,"BGN [4-12kHz]","#55c0f0"
"fixed","cond","cond.z_alt",-0.0261074124792748,0.00896227852486384,-2.91303293095005,0.00357936852333259,-0.0436731556074247,-0.00854166935112492,"S2N [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_distedge",0.0242885422143642,0.00937308694054146,2.59130661738651,0.00956122612407517,0.00591762938694022,0.0426594550417882,"S2N [0.3-22.1kHz]","#55c0f0"
"fixed","cond","cond.z_distwater",-0.0239899950027916,0.00830348679309757,-2.88914712584763,0.00386288291723364,-0.0402645300633668,-0.00771545994221634,"S2N [0.3-22.1kHz]","#e65a49"
"fixed","cond","cond.z_NDVI",-0.0497227850995346,0.00736370761392306,-6.75241165272782,1.45407607557936e-11,-0.0641553868155072,-0.035290183383562,"S2N [0.3-22.1kHz]","#e65a49"
