"Local","lat","long","alt","Year","Start_Date","End_Date","N_days","Count"
"CN1",-6.175786,-50.409092,705,"2019",2019-11-06 09:10:00,2019-11-13 06:40:00,6.89583333333333,987
"CN1",-6.175786,-50.409092,705,"2022",2022-03-22 15:40:00,2022-03-28 18:10:00,6.10416666666667,871
"CN2",-6.173898,-50.377923,680,"2019",2019-11-05 14:40:00,2019-11-09 08:20:00,3.73611111111111,538
"CN2",-6.173898,-50.377923,680,"2022",2022-03-25 20:40:00,2022-04-01 14:40:00,6.75,39
"CN3",-6.148752,-50.42119,692,"2019",2019-11-06 08:10:00,2019-11-13 05:10:00,6.875,986
"CN3",-6.148752,-50.42119,692,"2022",2022-03-22 13:50:00,2022-03-30 14:10:00,8.01388888888889,1066
"CN4",-6.145874,-50.439977,662,"2019",2019-11-06 07:10:00,2019-11-13 05:30:00,6.93055555555556,990
"CN4",-6.145874,-50.439977,662,"2022",2022-03-22 12:40:00,2022-03-29 21:10:00,7.35416666666667,1052
"CN5",-6.137579,-50.452847,670,"2019",2019-11-06 06:00:00,2019-11-13 06:10:00,7.00694444444444,935
"CN5",-6.137579,-50.452847,670,"2022",2022-03-22 10:30:00,2022-03-31 03:30:00,8.70833333333333,1243
"CN6",-6.171656,-50.352591,412,"2019",2019-11-05 13:50:00,2019-11-10 23:20:00,5.39583333333333,778
"CN6",-6.171656,-50.352591,412,"2022",2022-03-24 15:10:00,2022-03-30 14:00:00,5.95138888888889,836
"CN7",-6.20235,-50.343878,603,"2019",2019-11-07 09:30:00,2019-11-14 04:50:00,6.80555555555556,978
"CN7",-6.20235,-50.343878,603,"2022",2022-03-24 13:40:00,2022-03-28 10:40:00,3.875,530
"CN8",-6.215823,-50.317763,466,"2019",2019-11-07 07:40:00,2019-11-14 05:30:00,6.90972222222222,995
"CN8",-6.215823,-50.317763,466,"2022",2022-03-24 11:40:00,2022-04-01 09:20:00,7.90277777777778,1127
"CN9",-6.244426,-50.315309,384,"2019",2019-11-07 06:30:00,2019-11-13 09:00:00,6.10416666666667,874
"CN9",-6.244426,-50.315309,384,"2022",2022-03-23 13:20:00,2022-03-30 02:10:00,6.53472222222222,811
"CN10",-6.284544,-50.336224,625,"2019",2019-11-06 11:20:00,2019-11-13 09:50:00,6.9375,994
"CN10",-6.284544,-50.336224,625,"2022",2022-03-23 11:20:00,2022-04-01 13:10:00,9.07638888888889,1255
"CN11",-6.14236,-50.174049,698,"2019",2019-11-05 11:50:00,2019-11-12 07:30:00,6.81944444444444,719
"CN11",-6.14236,-50.174049,698,"2022",2022-04-03 14:00:00,2022-05-19 14:00:00,7,994
"CN12",-6.161556,-50.166436,694,"2019",2019-11-05 10:40:00,2019-11-09 09:00:00,3.93055555555556,566
"CN12",-6.161556,-50.166436,694,"2022",2022-04-03 15:10:00,2022-05-16 13:30:00,8,1122
"CN13",-6.184134,-50.142686,710,"2019",2019-11-05 09:00:00,2019-11-12 05:00:00,6.83333333333333,983
"CN13",-6.184134,-50.142686,710,"2022",2022-04-02 13:40:00,2022-05-16 15:50:00,8,1151
"CN14",-6.186415,-50.129326,703,"2019",2019-11-05 07:50:00,2019-11-12 12:46:00,7.20555555555556,1025
"CN14",-6.186415,-50.129326,703,"2022",2022-04-02 11:30:00,2022-05-16 15:00:00,8,1106
