"index","frequency.bin","local","effect.size","n.sig"
"BGN","Total","CN1",-0.00227065694261082,0
"AA","Total","CN1",0.0535804455701123,3
"ADI","Total","CN1",0.00426836163718669,0
"BGN","0.3-4","CN1",0.0164087791027767,1
"AA","0.3-4","CN1",-0.000456873460235682,0
"ADI","0.3-4","CN1",-0.00408618937366644,0
"BGN","4-12","CN1",0.00337237316919271,0
"AA","4-12","CN1",0.00315402343042573,0
"ADI","4-12","CN1",0.00896831971577402,0
"BGN","0.3-12","CN1",0.0113339746881458,1
"AA","0.3-12","CN1",0.0489404584904471,4
"ADI","0.3-12","CN1",0.00265152542296116,0
"BGN","12-22.1","CN1",-0.000868700872028458,0
"AA","12-22.1","CN1",0.0112257661001224,0
"ADI","12-22.1","CN1",NA,NA
"BGN","Total","CN10",0.00351761532916579,0
"AA","Total","CN10",0.0880083172817808,5
"ADI","Total","CN10",0.0669829641809116,5
"BGN","0.3-4","CN10",-0.00249960550062023,0
"AA","0.3-4","CN10",0.0884009007098643,4
"ADI","0.3-4","CN10",0.0306646609121184,1
"BGN","4-12","CN10",0.0323452699076627,2
"AA","4-12","CN10",0.181941582305213,5
"ADI","4-12","CN10",0.032805926097833,3
"BGN","0.3-12","CN10",0.0138849401923516,1
"AA","0.3-12","CN10",0.147190530041429,5
"ADI","0.3-12","CN10",0.0774589793520314,4
"BGN","12-22.1","CN10",0.0268587656964175,2
"AA","12-22.1","CN10",0.0168189273168671,1
"ADI","12-22.1","CN10",NA,NA
"BGN","Total","CN11",0.050668083649687,4
"AA","Total","CN11",0.0170838308737332,2
"ADI","Total","CN11",0.0295062108200822,2
"BGN","0.3-4","CN11",-0.00122445680898588,0
"AA","0.3-4","CN11",0.219790492754543,4
"ADI","0.3-4","CN11",0.248333979246671,4
"BGN","4-12","CN11",0.0170860479836073,0
"AA","4-12","CN11",0.0398005208891372,2
"ADI","4-12","CN11",0.0135960619135482,1
"BGN","0.3-12","CN11",0.123310128160118,4
"AA","0.3-12","CN11",0.0156077487846235,3
"ADI","0.3-12","CN11",0.0594929924616566,4
"BGN","12-22.1","CN11",0.00639989060131199,0
"AA","12-22.1","CN11",-0.00129987087145351,0
"ADI","12-22.1","CN11",NA,NA
"BGN","Total","CN12",0.0607101861615526,3
"AA","Total","CN12",0.0928656553720104,3
"ADI","Total","CN12",0.0075405405651201,0
"BGN","0.3-4","CN12",0.00907638386115212,0
"AA","0.3-4","CN12",0.124036449439259,4
"ADI","0.3-4","CN12",0.149286134984014,4
"BGN","4-12","CN12",0.159965409189016,4
"AA","4-12","CN12",0.164615719444016,5
"ADI","4-12","CN12",0.0286282318694971,2
"BGN","0.3-12","CN12",0.0127997626384486,0
"AA","0.3-12","CN12",0.16811126917689,5
"ADI","0.3-12","CN12",0.0217864980062105,2
"BGN","12-22.1","CN12",0.0880351421518398,3
"AA","12-22.1","CN12",0.0597516000753086,2
"ADI","12-22.1","CN12",NA,NA
"BGN","Total","CN13",0.103546069814044,4
"AA","Total","CN13",0.199210548156556,4
"ADI","Total","CN13",0.338396667973203,4
"BGN","0.3-4","CN13",-0.00380697035974331,0
"AA","0.3-4","CN13",0.070873905607102,3
"ADI","0.3-4","CN13",0.0693488746959785,2
"BGN","4-12","CN13",0.18639134068681,5
"AA","4-12","CN13",0.300692721894426,5
"ADI","4-12","CN13",0.0548320072992408,3
"BGN","0.3-12","CN13",0.194268997467648,5
"AA","0.3-12","CN13",0.30333405175363,5
